,xmin,ymin,xmax,ymax,numgranules,is_downloaded,geometry
93,-87,-89,-86,-88,0,False,"POLYGON ((-86 -89, -86 -88, -87 -88, -87 -89, -86 -89))"
94,-86,-89,-85,-88,0,False,"POLYGON ((-85 -89, -85 -88, -86 -88, -86 -89, -85 -89))"
95,-85,-89,-84,-88,0,False,"POLYGON ((-84 -89, -84 -88, -85 -88, -85 -89, -84 -89))"
96,-84,-89,-83,-88,0,False,"POLYGON ((-83 -89, -83 -88, -84 -88, -84 -89, -83 -89))"
97,-83,-89,-82,-88,0,False,"POLYGON ((-82 -89, -82 -88, -83 -88, -83 -89, -82 -89))"
98,-82,-89,-81,-88,0,False,"POLYGON ((-81 -89, -81 -88, -82 -88, -82 -89, -81 -89))"
99,-81,-89,-80,-88,0,False,"POLYGON ((-80 -89, -80 -88, -81 -88, -81 -89, -80 -89))"
100,-80,-89,-79,-88,0,False,"POLYGON ((-79 -89, -79 -88, -80 -88, -80 -89, -79 -89))"
101,-79,-89,-78,-88,0,False,"POLYGON ((-78 -89, -78 -88, -79 -88, -79 -89, -78 -89))"
102,-78,-89,-77,-88,0,False,"POLYGON ((-77 -89, -77 -88, -78 -88, -78 -89, -77 -89))"
103,-77,-89,-76,-88,0,False,"POLYGON ((-76 -89, -76 -88, -77 -88, -77 -89, -76 -89))"
104,-76,-89,-75,-88,0,False,"POLYGON ((-75 -89, -75 -88, -76 -88, -76 -89, -75 -89))"
105,-75,-89,-74,-88,0,False,"POLYGON ((-74 -89, -74 -88, -75 -88, -75 -89, -74 -89))"
106,-74,-89,-73,-88,0,False,"POLYGON ((-73 -89, -73 -88, -74 -88, -74 -89, -73 -89))"
107,-73,-89,-72,-88,0,False,"POLYGON ((-72 -89, -72 -88, -73 -88, -73 -89, -72 -89))"
108,-72,-89,-71,-88,0,False,"POLYGON ((-71 -89, -71 -88, -72 -88, -72 -89, -71 -89))"
109,-71,-89,-70,-88,0,False,"POLYGON ((-70 -89, -70 -88, -71 -88, -71 -89, -70 -89))"
110,-70,-89,-69,-88,0,False,"POLYGON ((-69 -89, -69 -88, -70 -88, -70 -89, -69 -89))"
